CITY,lat,lng
Ramgundam,18.7639,79.475
Pandharpur,17.6778,75.3278
Masaurhi Buzurg,25.35,85.02
Tuticorin,8.7642,78.1348
Ganganagar,29.92,73.88
Rewa,24.53,81.3
Uluberiya,22.47,88.11
Bulandshahr,28.4069,77.8497
Cannanore,11.8689,75.3555
Raichur,16.2,77.37
Vizianagaram,18.1159,83.406
Pali,25.77,73.33
Songadh,21.167,73.564
Haridwar,29.945,78.163
Pathardi,19.17,75.18
Petlad,22.47,72.8
Khatima,28.92,79.97
Pallavaram,12.9675,80.1491
Nadiad,22.69,72.86
Tanjore,10.787,79.1378
Kichha,28.92,79.5
Secunderabad,17.4399,78.4983
Tiptur,13.26,76.48
Katri,23.48,80.4
Sambhal,28.58,78.55
Anand,22.556,72.951
Naihati,22.89,88.42
Yamunanagar,30.133,77.288
Monghyr,25.381,86.465
Kapra,17.4859,78.5651
Shimla,31.1033,77.1722
Gokak,16.1667,74.8333
Puri,19.8106,85.8314
Nandyal,15.48,78.48
Bhadravati,13.8485,75.705
Panchkula,30.74,76.8
Burhanpur,21.3,76.23
Kiratot,32.8376,76.2296
Kharagpur,22.3302,87.3237
Dindigul,10.35,77.95
Robertsonpet,12.9563,78.2754
Hospet,15.2689,76.3909
Lingampalli,17.4865,78.317
Ingraj Bazar,25.0044,88.1458
Ongole,15.506,80.049
Ellore,16.7117,81.1031
Betigeri,15.443,75.6442
Mokameh,25.3898,85.9191
Deoghar,24.48,86.7
Chhindwara,22.057,78.9396
Haldia,22.0667,88.0698
Khandwa,21.82,76.35
Pulimaddi,15.48,78.48
Morena,26.5,78
Amroha,28.9044,78.4675
Drabar,33.43,75.09
Bhind,26.5587,78.7871
Chakradharpur,22.7,85.63
Madhyamgram,22.7,88.45
Khammam,17.2473,80.1514
Bhiwani,28.78,76.13
Shrirampur,22.75,88.34
Ghandinagar,23.223,72.65
Baharampur,24.1,88.25
Hugli,22.9089,88.3967
Morbi,22.82,70.83
Mahbubnagar,16.7488,78.0035
Fatehpur,25.93,80.8
Pandhurna,21.6,78.52
Rajendranagar,17.3198,78.4031
Rae Bareli,26.2236,81.2403
Orai,25.98,79.47
Raiganj,25.62,88.12
Bhusaval,21.05,75.77
Barakpur,22.7642,88.3776
Bahraigh,27.575,81.594
Tambaram,12.831,80.0459
Umreth,22.6986,73.1156
Mahesana,23.6,72.4
Dinapore,25.6225,85.0417
Alasandigutta,15.63,77.28
Batala,31.8186,75.2028
Kottayam,9.5947,76.4856
Sirsa,29.5333,75.0167
Karaikkudi,10.0735,78.7732
Himatnagar,23.6,72.95
Alleppey,9.49,76.33
Dam Dam,22.62,88.42
Jaunpur,25.73,82.68
Guna,24.65,77.32
Madanapalle,13.55,78.5
Mahad,18.083,73.417
Shivpuri,25.43,77.65
Bhalswa Jahangirpur,28.7354,77.1638
Sultanpur Mazra,28.6981,77.0689
Unnao,26.55,80.49
Titagarh,22.74,88.37
Waraseoni,21.7647,80.0494
Mauli,30.699,76.693
Chandannagar,22.8671,88.3674
Cuddalore,11.75,79.75
Kotdwara,29.75,78.53
Chirala,15.8246,80.3521
Deo,24.6561,84.4356
Silchar,24.82,92.8
Gadag,15.4167,75.6167
Tiruvannamalai,12.13,79.07
Bidar,17.912,77.52
Valsad,20.61,72.926
Machilipatnam,16.17,81.13
Medinipur,22.424,87.319
Damoh,23.8331,79.4419
Neyveli,11.6088,79.4994
Baramula,34.2,74.34
Wapi,20.372,72.917
Jind,29.3167,76.3167
Adoni,15.6244,77.2731
Tenali,16.239,80.645
Fyzabad,26.773,82.146
Udipi,13.3389,74.7451
Conjeeveram,12.8308,79.7078
Proddatur,14.73,78.55
Nangloi Jat,28.6833,77.0667
Godhra,22.7772,73.6203
Chitaldrug,14.2333,76.4
Rajapalaiyam,9.4204,77.58
Multai,21.77,78.25
Chittoor,13.216,79.098
Krishnanagar,23.4,88.5
Uttarpara,22.67,88.35
Moga,30.822,75.174
Budaun,28.05,79.12
Bharuch,21.6948,72.9805
Saharsa,25.88,86.6
Pathankot,32.2668,75.6
Vidisha,23.5239,77.8061
